Date,Initials,Supplier,Location,Contact,PO#,Notes,Material,Weight / lbs,PU Date,Carrier,Border Crossing, Rate $ , Invoice Approved ,Rate,B/L sent,Customs
2024-08-22,UT,Amerinox,"Camden, NJ",Rick,C209064,,"SPL 304L HRAP NO PAPER 1/4"" x 60"" x 144"" / 120""","20,160lbs",,,,,,Y,Y,Y
2024-08-16,DAN,Amerinox,"Camden, NJ",Rick,C209056,"5,680lbs urgent"," SSH 316L 2B 4228 REF 7ga x 48"" x 193""/ 157""/ 230""","13,020lbs",,,,,,Y,Y,Y
2024-08-26,DAN,Main Steel,"Harmony, PA",Mark,C209055,,"SSH 201LN .90 x 48"" x 96""","28,678lbs",2024-08-26,Essence - Aaron Xpress Inc,"Lansdown, ON ","$1,750.00",,Y,Y,Y
2024-08-27,DAN,Main Steel,"Harmony, PA",Mark,C209054,,"SSH 201LN 1/4 .060"" x 48""  x 96""/120""/144""","32,560lbs",2024-08-28,Essence - Daytona Freight Systems,"Lansdown, ON ","$1,750.00",,Y,Y,Y
2024-08-27,DAN,Main Steel,"Harmony, PA",Mark,C209036,,"SSH 201LN 2B .075"" x 48""x 120""","34,220lbs",2024-08-28,Formule Transit,"Lacolle, QC","$1,850.00",,Y,Y,Y
2024-08-26,UT,Amerinox,"Camden, NJ",Rick,C209068,," SPL 304L HRAP NO PAPER 1/4"" x 48"" x 120""/ 96""","18,810lbs",2024-09-03,Formule Transit,"Lacolle, QC","$1,400.00",2024-09-09,Y,Y,Y
2024-07-08,DAN,Polished Metals,"Hillside, NJ",Mark,P215511,," SSH 316L X8 14GA X 48""x 120""",325lbs,,,,,,Y,Y,Y
2024-08-16,DAN,Amerinox,"Camden, NJ",Rick,C209056,"7,035lbs"," SSH 316L 2B 4228 REF 7ga x 48"" x 193""/ 157""/ 230""","13,020lbs",,,,,,Y,Y,Y
2024-08-26,DAN,Amerinox,"Camden, NJ",Rick,C209069,," SSH 316L 2B 4228 REF 7ga x 48"" x 229""","12,190lbs",,,,,,Y,Y,Y
2024-08-27,PG,Rigidized Metals,"Buffalo, NY",Susanne,P215523,,"304 2B, 16ga x 48"" x 120""",400lbs,2024-09-04,DVL,-,$590.00,2024-09-09,Y,Y,Y
2024-08-22,IX,Yarde Metals,"Southington, CT",Ryan,P215509,,"6063 1/8"" x 3/4"" x 192""",100lbs,2024-09-04,DVL,-,$630.00,2024-09-12,Y,Y,Y
2024-08-30,MD,Ta Chen,"Pleasant Prairie, WI",Andrew,P215533,,"316L 1/4"" x 96"" x 240""","7,500lbs",2024-09-05,Essence,"Lacolle, QC",$700.00,2024-09-09,Y,Y,Y
2024-08-28,MD,Leveltek,"Bennwood, WV",Kelly,P215466,,".210"" x 48"" x 120""","18,000lbs",2024-09-09,Essence - Tarzan Transport,"Lansdowne, ON","$1,850.00",2024-09-12,Y,Y,Y
2024-09-06,MD,Leveltek,"Bennwood, WV",Kelly,C209079,,".125"" x 48"" x 96","31,000lbs",,,,,,Y,Y,Y
2024-09-09,CON,Ta Chen,"Pleasant Prairie, WI",Andrew,P215556,,"ACP 6061-T6 PAPER .250"" x 60"" x 192""","3,848lbs",2024-09-09,Essence - Bestway,,"$1,675.00",2024-09-12,Y,Y,Y
2024-09-11,MD,Main Steel,"Harmony, PA",Mark,C209058,,"SSH 201LN .075"" x 48"" x coil","31,000lbs",2024-09-12,DVL,,"$1,550.00",2024-09-23,Y,Y,Y
2024-09-10,PG,Main Steel,"Harmony, PA",Mark,C209083,RUSH,"304l 2b .063"" X 60 X 380'","48,000lbs",2024-09-12,Formule Transit,"Lacolle, QC","$1,850.00",2024-09-17,Y,Y,Y
2024-09-12,MD,Laporte,"La Porte, IN",April,C209087,,"SSH 201LN 1/4 HARD NO PAPER .090 x 2-3/4"" x Coil","32,145lbs",2024-09-16,Essence,,"$1,925.00",2024-09-19,Y,Y,Y
2024-09-13,MD,Main Steel,"Harmony, PA",Mark,C209094,,"SSH 201LN 1/4 HARD PAPER .075 x 48"" x 120""","27,680lbs",2024-09-16,Essence,,"$1,750.00",2024-09-19,Y,Y,Y
2024-09-11,SM,Ta Chen,"Pleasant Prairie, WI",Andrew,P215582,,"316l, 1.5 / 1.75 X 96"" X 240""","23,000LBS",2024-09-16,Essence,,"$1,550.00",2024-09-20,Y,Y,Y
2024-09-11,MD,Amerinox,"Camden, NJ",Rick,C209104,"A,B,C",SPL 304L 1/4 x 48 x 96 / 120,"13,640lbs",2024-09-16,Formule Transit,"Lacolle, QC","$1,400.00",2024-09-18,Y,Y,Y
2024-09-09,MD,Amerinox,"Camden, NJ",Rick,C209095,,304L 3/16 x 60 x 96 / 120,"19,615lbs",,,,,,Y,Y,Y
2024-09-06,BL,Kingmaker,"Somerset, NJ",Vera,P215557,,"SST 304 X4 4"" x 1/8"" x 20'","5,024lbs",,,,,,Y,Y,Y
